Ввод                        Ожидаемый вывод                         Наш вывод
2*cos(x)*2*cos(x /2*x)      2 x cos * 2 * x 2 / x * cos *           2.00 x cos 2.00 x 2.00 x * / cos * * * 
2*cos(x)/2*cos(x /2*x)      2 x cos * 2 / x 2 / x * cos *           2.00 x cos 2.00 x 2.00 x * / cos * / * 
2*cos(x)-2*cos(x /2*x)      2 x cos * 2 x 2 / x * cos * -           2.00 x cos * 2.00 x 2.00 x * / cos * - 
2*cos(x)+2*cos(x/2*x)       2 x cos * 2 x 2 / x * cos * +           2.00 x cos * 2.00 x 2.00 x * / cos * + 

2*cos(x)*2*cos(x+2*x)       2 x cos * 2 * x 2 x * + cos *           2.00 x cos 2.00 x 2.00 x * + cos * * * 
2*cos(x)/2*cos(x+2*x)       2 x cos * 2 / x 2 x * + cos *           2.00 x cos 2.00 x 2.00 x * + cos * / * 

2*cos(x)/2*cos(x-2*x)       2 x cos * 2 / x 2 x * - cos *           2.00 x cos 2.00 x 2.00 x * - cos * / * 
2*cos(x)*2*cos(x-2*x)       2 x cos * 2 * x 2 x * - cos *           2.00 x cos 2.00 x 2.00 x * - cos * * * 

2*cos(x)-2*cos(x*2*x)       2 x cos * 2 x 2 * x * cos * -           2.00 x cos * 2.00 x 2.00 x * * cos * -
2*cos(x)/2*cos(x*2*x)       2 x cos * 2 / x 2 * x * cos *           2.00 x cos 2.00 x 2.00 x * * cos * / * 
2*cos(x)*2*cos(x*2*x)       2 x cos * 2 * x 2 * x * cos *           2.00 x cos 2.00 x 2.00 x * * cos * * *
2*cos(x)+2*cos(x*2*x)       2 x cos * 2 x 2 * x * cos * +           2.00 x cos * 2.00 x 2.00 x * * cos * + 

2*cos(x)+2*cos(x+2*x+5)     2 x cos * 2 x 2 x * + 5 + cos * +       2.00 x cos * 2.00 x 2.00 x * 5.00 + + cos * + 
